,Development Name,Address,Property Website,Management Company,Public Phone #,lat,lng
0,101 San Fernando,"101 E.San Fernando St, Ste 100",http://www.essexapartmenthomes.com/apartment/101-san-fernando-san-jose-ca-5d0248854567,Forest City Residential,(866) 700-0404,37.3357192,-121.8867076
1,127 and 110 #22 Roundtable - NSP,"110, bldg 22, 127 Roundtable Dr.",http://streetsteam.org/,Downtown Streets Team,(650) 833-8663,37.2606253,-121.8066237
2,1713 Ross,1713 Ross Circle,http://www.abodeservices.org/,Abode Services,(408) 941-1850,37.253309,-121.910794
3,1726 Ross,1726 Ross Circle,http://www.abodeservices.org/,Abode Services,(408) 941-1850,37.252562,-121.91026
4,1731 Ross,1731 Ross Circle,http://www.abodeservices.org/,Abode Services,(408) 941-1850,37.253003,-121.912192
5,Almaden 1930,1930 Almaden,http://www.kdfcommunities.com/kdfcommunities.html,,(408) 264-1930,26.8965219,-101.400286
6,Almaden Family Apartments,1501 Almaden Road,http://www.laspalmashousing.com/almaden-family/,ConAm Management,(408) 275-1922,37.30905920000001,-121.8786763
7,Almaden Garden Apartments,"947 Branham Lane, #C",http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 323-8020,37.2657816,-121.868859
8,Almaden Lake Apartments,978 Almaden Lake Drive and Winfield Boulevard,http://www.bridgehousing.com/properties/family/santa-clara/san-jose/almaden-lake,Seven Hills Properties,(408) 323-8020,37.2392027,-121.869294
9,Almaden Lake Village,1045 Coleman Road,http://www.almadenlakevillage.com/,UDR,(866) 491-6640,37.2983382,-88.06506499999999
10,Anton La Moraga Apartments,5822 Charlotte Drive,http://www.antonlamoraga.com/,St. Anton Multifamily,(408) 226-5822,37.244733,-121.7998063
11,Arbor Apartments,1582 Kooser Road,http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 448-1288,37.2402484,-121.9021935
12,Arbor Park Community,899 North King Road,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 272-1588,41.4657144,-86.2622617
