"Development Name","Address","Property Website","Management Company","Public Phone #"
"101 San Fernando","101 E.San Fernando St, Ste 100","http://www.essexapartmenthomes.com/apartment/101-san-fernando-san-jose-ca-5d0248854567","Forest City Residential","(866) 700-0404"
"127 and 110 #22 Roundtable - NSP","110, bldg 22, 127 Roundtable Dr.","http://streetsteam.org/","Downtown Streets Team","(650) 833-8663"
"1713 Ross","1713 Ross Circle","http://www.abodeservices.org/","Abode Services","(408) 941-1850"
"1726 Ross","1726 Ross Circle","http://www.abodeservices.org/","Abode Services","(408) 941-1850"
"1731 Ross","1731 Ross Circle","http://www.abodeservices.org/","Abode Services","(408) 941-1850"
"Almaden 1930","1930 Almaden","http://www.kdfcommunities.com/kdfcommunities.html","N/A","(408) 264-1930"
"Almaden Family Apartments","1501 Almaden Road","http://www.laspalmashousing.com/almaden-family/","ConAm Management","(408) 275-1922"
"Almaden Garden Apartments","947 Branham Lane, #C","http://www.dkdproperties.com/south%20bay.htm","DKD Property Management Company","(408) 323-8020"
"Almaden Lake Apartments","978 Almaden Lake Drive and Winfield Boulevard","http://www.bridgehousing.com/properties/family/santa-clara/san-jose/almaden-lake","Seven Hills Properties","(408) 323-8020"
"Almaden Lake Village","1045 Coleman Road","http://www.almadenlakevillage.com/","UDR","(866) 491-6640"
"Anton La Moraga Apartments","5822 Charlotte Drive","http://www.antonlamoraga.com/","St. Anton Multifamily","(408) 226-5822"
"Arbor Apartments","1582 Kooser Road","http://www.dkdproperties.com/south%20bay.htm","DKD Property Management Company","(408) 448-1288"
"Arbor Park Community","899 North King Road","http://property.midpen-housing.org/PropertySearch","MidPen Property Management Corporation","(408) 272-1588"
"Archer Studios","98 Archer Street","http://charitieshousing.org/archer-street/","Charities Housing Management","(408) 550-8300"
"Art Ark","1058 S.5th Street","http://www.artarkapts.com/","EAH,Inc.","(877) 259-1439"
"Baker Park","4748 Campbell Avenue and Fallbrook Drive","http://property.midpen-housing.org/PropertySearch","MidPen Property Management Corporation","(408) 379-8440"
"Barker","3825 Barker Drive","http://www.abodeservices.org/","Abode Services","(408) 941-1850"
"Bella Castello","570 Keyes St","http://www.roemcorp.com/projects/bella-castello/","FPI Management","(408) 289-1122"
"Bendorf Drive Apts.","282 Danze Drive","http://jsco.net/city/san-jose/","John Stewart Company","(408) 362-9233"
"Betty Anne Gardens","945 Lundy Ave","http://www.bettyanngardens.org/","Westlake Realty Group, Inc.","(408) 254-4540"
"Blossom River","1000 Blossom River Way","http://jsco.net/city/san-jose/","John Stewart Company","(408) 979-9442"
"Branham","1579 Branham Lane","http://www.abodeservices.org/","Abode Services","(408) 941-1850"
"Bridgeport Apartments","3678 Bridgeport Court","http://www.communityhousingsv.org","C.H.D. PMS","(408) 279-7654"
"Brookwood Terrace Family Apartments","1346 E San Antonio St","http://www.roemcorp.com/projects/brookwood-terrace/","FPI Management","(408) 279-5700"
"Burning Tree","239 Burning Tree","http://www.abodeservices.org/","Abode Services","(408) 941-1850"
"Calvin","3456 Calvin Avenue","http://www.abodeservices.org/","Abode Services","(408) 941-1850"
"Canoas Terrace","420 Sands Drive","www.fpiliving.com","FPI Management, Inc.","(408) 448-1592"
"Cape Cod Court","3680 Cape Cod Court","","NOI Holdings 20 LP",""
"Capitol Manor","175 N. Capitol Avenue","http://www.capitolmanor.net/","ALTON MANAGEMENT CORPORATION","(408) 251-9132"
"Casa Real","2570 Fontaine Rd.","No website","KDF Communities LLC","(408) 238-0841"
"Catalonia","2036 Evans Lane east side","http://www.edenhousing.org/property-search","Eden Housing Management","(408) 264-0784"
"Chai House II","814 St Elizabeth Dr","http://jsco.net/city/san-jose/","John Stewart Company","(408) 947-1818"
"Charter Court Apartments","2570 Fontaine Rd.","http://www.mynewplace.com/apartment/charter-court-apartments-san-jose-ca-0gw207628635#property_details","Charter Court SJC LP, a California limited parthership, Owner","(408) 241-1146"
"Cherry Creek","2020 Southwest Expressway","http://www.mynewplace.com/apartment/cherry-creek-san-jose-ca-80c000143566","Charter Court SJC LP, a California limited parthership, Owner","(408) 287-6274"
"Cinnabar Commons","875 Cinnabar St (Stockton Ave@Lenzen Ave)","No website","BRIDGE TOWER, LLC","(408) 289-1010"
"Clarendon","7213 Clarendon St.","http://jsco.net/city/san-jose/","John Stewart Company","(408) 366-2114"
"Colonnade","201 S 4th Street","http://www.gkind.com/pages/san-jose-and-santa-cruz#Colonnade","G&K Management Company, Inc.","(877) 254-7982"
"Corde Terra Village Family","2600 Corde Terra Circle","http://www.roemcorp.com/projects/corde-terra-village/","FPI Management","(408) 298-9988"
"Cornerstone","875 N.10th Street","No website","EAH,Inc.","(877) 223-5923"
"Country Hills Apartments","124 Rancho Drive","http://property.midpen-housing.org/PropertySearch","MidPen Property Management Corporation","(408) 578-8441"
"Courtyard Plaza Apartments","2950 Story Road","http://www.affordablesearch.com/apartments/Listing.aspx?id=48","FPI Management","(408)Â 929-4221"
"Curtner","1824 Curtner Avenue","http://www.abodeservices.org","Abode Services","(408) 941-1850"
"David Avenue Apartments","3068 David Avenue","No website","KDF Communities LLC","(408) 374-0411"
"Delmas Park","350 Bird Avenue","http://www.delmasparkapts.com/","EAH,Inc.","(877) 276-7171"
"Dent Commons","5363 Dent Ave","http://property.midpen-housing.org/PropertySearch","MidPen Property Management Corporation","(408) 267-4230"
"Don de Dios","987 Fair Avenue","http://www.eahhousing.org/pages/featureddevelopmentdetail/76","EAH Management","(408) 288-7770"
"Donna","1794 Donna Lane","http://www.abodeservices.org/","Abode Services","(408) 941-1850"
"Eden Palms","5398 Monterey Road","http://www.edenhousing.org/property-search","Eden Housing Management","(408) 227-5684"
"El Rancho Verde","300 Checkers Drive","http://www.related.com/ourcompany/properties/49/El-Rancho-Verde-Apartments/","Clark Realty Management","(408) 272-0356"
"Elena Gardens","1900 Lakewood Drive","http://www.eahhousing.org/pages/featureddevelopmentdetail/81","EAH,Inc.","(408) 262-6991"
"Emmanuel Terrace","460 Francis Drive","No website","Emmanuel Terrace Inc.","(408) 923-8280"
"Enclave","4349 RENAISSANCE DR","http://www.enclaveapartmenthomes.com","Berkshire","(408) 428-9156"
"Fairway Glen","488 Toyon Ave","http://www.fairwayglen.com/","Prime Group","(408) 926-3100"
"Fairways at San Antonio","305 San Antonio Court","http://affirmedhousing.com/projects/fairways/index.html","Affirmed Housing Group","(408) 923-8424"
"Ford Road Plaza","215 Ford Road","http://www.edenhousing.org/property-search","Eden Housing Management","(510) 582-1460"
"Fountain Plaza","190 Ryland Street","No website","Legacy Partners","(408) 288-9100"
"Foxchase Drive Apartments","1070 Foxchase Drive","http://www.kcmapts.com/foxchase","Klingbeil Capital Management Ltd","(408) 723-0600"
"Foxdale Manor","1250 Foxdale Loop","No website","KDF Communities LLC","(408) 251-1142"
"Fuji Towers","690 North 5th Street","http://www.japantownsanjose.org/fujitowers.html","Fuji Towers","(408) 275-8989"
"Giovanni","85 S. 5th Street","http://jsco.net/city/san-jose/page/2/","John Stewart Company","(408) 288-7436"
"Gish Apartments","35 E. Gish Rd","http://www.gishapartments.org/","John Stewart Company","(408) 436-8972"
"Helzer Court","2960 MacIntyre Drive","http://fpihacsc.com/property/helzer-courts/","FPI Management","(408) 264-3237"
"Hillsdale Townhomes","1626-1656 Hillsdale Ave","http://property.midpen-housing.org/PropertySearch","MidPen Property Management Corporation","(408) 267-4230"
"Hillview Glen","3220 Pearl Avenue","http://www.edenhousing.org/property-search","Eden Housing Management","(408) 723-1644"
"Huff Gardens","3021 Huff Avenue","http://fpihacsc.com/property/huff-gardens/","FPI Management","(408) 557-8699"
"Italian Gardens","1524 Almaden Road","http://property.midpen-housing.org/PropertySearch","MidPen Property Management Corporation","(408) 293-9118"
"Julian Gardens","319 North 8th Street","http://jsco.net/city/san-jose/page/2/","John Stewart Company","(408) 295-8440"
"Kings Crossing","678 North King Road","http://charitieshousing.org/kings-crossing-apartments/","Charities Housing Management","(408) 564-5016"
"La Fenetre","705 Northrup Street and Parkmoor Avenue","www.caremgt.com","California Management Company, LLC","(408)Â 295-2066"
"Las Casitas","632 N. Jackson Ave.","http://www.dkdproperties.com/south%20bay.htm","DKD Property Management Company","(408) 251-6850"
"Las Ventanas","1800 Evans Lane","www.caremgt.com","California Management Company, LLC","(408) 265-9300"
"Lexington Apartments","1350 Lexington Dr.","No website","N/A","N/A"
"Lion Villas","2550 S. King Rd.","http://www.lionvillas.com/","Pap Lion Villas LLC","(408) 274-7983"
"Lucretia Gardens","2020 Lucretia Ave.","http://jsco.net/property/lucretia-gardens/","John Stewart Company","(408) 295-8440"
"Market Gateway Housing","535 S.Market St","http://www.marketgatewayapts.com/","EAH,Inc.","(877) 298-7852"
"Masson Building Rehabilitation Project","161 West Santa Clara Street","N/A","N/A","N/A"
